file,id_sente,id_article,domain,year,sentences,classe
C2_Folha_04-08-2006_11h38,612,c2f,politics,2006,"Num eventual segundo turno e na comparação com a pesquisa Ibope do dia 25, Lula oscila de 48% para 50%, enquanto Alckmin cai de 39% para 36%.",0
C72_Folha_17-10-2022_01h28,4158,c72f,politics,2022,É possível consultar o site da Câmara de Deputados e buscar todos os discursos feitos por Bolsonaro que citavam o ex-presidente Lula.,0
C79-Estadao_18-10-2022_11h37,4707,c79e,politics,2022,O senador eleito auxiliou Bolsonaro no programa e foi reapresentado como uma linha auxiliar do atual governo no combate à corrupção.,0
C84_OGlobo_18-10-2007_16h53,5145,c84o,politics,2007,"Isso porque os partidos não tem bandeiras, camisas.",-1
C77_Folha_18-10-2022_10h15,4622,c77f,politics,2022,O procedimento foi feito pelos Tribunais Regionais Eleitorais e acompanhado pelos militares.,0
C69_OGlobo_15-10-2022_19h57,3928,c69o,politics,2022,"O ministro do Tribunal Superior Eleitoral (TSE) Benedito Gonçalves atendeu neste sábado (15) a um pedido da campanha de Luiz Inácio Lula da Silva e abriu uma ação para investigar o presidente Jair Bolsonaro e seu vice, Braga Netto, a Jovem Pan e o presidente da emissora, Antônio Augusto Amaral de Carvalho Filho, por suposta prática de uso indevido dos meios de comunicação.",0
C42_Estadao_25-09-2007_14h28,1942,c42e,politics,2007,"A posição de Quintanilha tem o apoio de alguns senadores, mas não é bem vista pela oposição.",1
C55_OGlobo_27-09-2022_19h04,2838,c55o,politics,2022,Léo Péricles (Unidade Popular):,0
C74_Estadao_17-10-2022_13h29,4331,c74e,politics,2022,"Mostrar que tem dois lados bastante distintos"", disse Bolsonaro no vídeo.",-1
C70_Folha_16-10-2022_3h06,3979,c70f,politics,2022,As cidadãs venezuelanas apresentaram pleitos como a regularização de documentos e a reabertura da fronteira terrestre.,0
C92_Estadao_24-10-2007_18h30,5559,c92e,politics,2007,"Ao ser questionado sobre a afirmação, se irritou e decidiu ser mais ponderado.",1
C42_Folha_25-09-2007_11h44,1974,c42f,politics,2007,Eu quero levar ao relator um informe sobre os trabalhos.,-1
C67_Folha_15-10-2022_12h24,3769,c67f,politics,2022,"Amoêdo prevê críticas à sua declaração de voto dentro do Novo, mas diz que a liberdade de expressão é um dos princípios do partido.",0
C59_OGlobo_06-10-2022_21h11,3064,c59o,politics,2022,"""Nós estamos aqui agora porque nós queremos recuperar o Brasil.",-1
C5_Folha_31-08-2007,2426,c5f,politics,2007,"Com a morte do senador Antonio Carlos Magalhães, o PMDB tenta ganhar o espaço ocupado pelos carlistas na Bahia e conta com o nome de Lomanto -ex-deputado federal e com forte influência política no Estado- para isso.",1
C79-Folha_17-10-2022_23h01,4723,c79f,politics,2022,"Caso Lula vença a eleição presidencial, Moro pretende se destacar como oposição ao petista no Congresso, usando o cargo para ganhar mais projeção nacional e se projetar como líder antipetista.",1
C5_Folha_31-08-2007,2430,c5f,politics,2007,"O acordo foi costurado nos últimos dias com caciques do PMDB e Jobim, que terá carta branca para indicar os substitutos na Anac.",1
C17_Folha_21-08-2006,383,c17f,politics,2006,"""É uma declaração arrogante, porque a campanha está começando.",-1
C85_Estadao_20-08-2007_15h02,5166,c85e,politics,2007,"Empréstimos Entre 10 de junho de 2005 e de abril de 2006, a CPI dos Correios esmiuçou os esquemas na estatal, em meio a depoimentos ruidosos.",0
C53_OGlobo_19-09-2022_08h56,2673,c53o,politics,2022,A disputa segue estável.,-1
C27_Estadao_18-10-2007_00h04,1039,c27e,sports,2007,Kaká acertou um belíssimo chute de longe no ângulo aos 31 e fez 3 a 0.,1
C95_Folha_19-10-2022_04h00,5900,c95f,politics,2022,"O Sul, por outro lado, amargou período de seca.",1
C39_Folha_28-04-2022_09h28,1746,c39f,politics,2022,"A afirmação do comitê não tem nenhum efeito jurídico, mas tem peso político para fortalecer o discurso de Lula de perseguição política às vésperas da disputa eleitoral na qual lidera as pesquisas de intenção de voto.",1
C45_OGlobo_18-10-2007_08h33,2144,c45o,culture,2007,"Está na hora de discutirmos segurança pública de verdade"", desabafou Huck no artigo.",-1
C79-Folha_17-10-2022_23h01,4722,c79f,politics,2022,"Bolsonaro e Moro reataram, mas os termos ainda estão sendo costurados.",1
C79-Estadao_18-10-2022_11h37,4693,c79e,politics,2022,"A deputada federal eleita Rosangela Moro (União Brasil-SP), mulher do ex-juiz, também foi entusiasta da reaproximação, com o discurso de unir forças para derrotar Lula no segundo turno.",1
C84_Estadao_18-10-2007_21h45,5110,c84e,politics,2007,"O presidente da Câmara, deputado Arlindo Chinaglia (PT-SP), não foi tão enfático, mas também sinalizou que a proposta deverá ser alterada pelos deputados.",1
C27_Folha_17-10-2007_23h53,1080,c27f,sports,2007,"No momento em que algumas vaias foram ouvidas no Maracanã, a equipe passou a jogar melhor.",1
C75_OGlobo_17-10-2022_14h45,4503,c75o,politics,2022,"Na nossa opinião, ainda é prematura, com os dados que nós temos, dizer isso [que foi atentado].",-1
C38_OGlobo_28-07-2007_00h00,1715,c38o,sports,2007,O Brasil tem ainda boas chances de medalhas neste penúltimo dia de competições:,1
C65_OGlobo_14-10-2022_08h45,3662,c65o,culture,2022,"Pouco depois a galeria se manifestou em suas redes sociais e informou que, além de lançar a sopa de tomate no quadro, a dupla colou as mãos na parede em que se encontra a obra, que é de 1888.",0
C81_Estadao_07-10-2022_08h48,4852,c81e,culture,2022,"""Foi em um domingo, no começo da tarde.",-1
C17_Estadao_20-08-2006_21h41,365,c17e,politics,2006,"Alckmin classificou de ""totalmente descabida"" a afirmação de Lula, que atacou Serra em Osasco.",1
C82_Estadao_11-01-2006_19h46,4950,c82e,politics,2006,"""Acho que o TCU tem de fiscalizar, mas enquanto não ficarem esclarecidas (as suspeitas), não se pode dizer que uma empresa é culpada"", afirmou.",-1
C70_Estadao_16-10-2022_10h58,3942,c70e,politics,2022,"Aquelas meninas venezuelanas que tinham fugido de seu país, tinham fugido da fome.",-1
C89_Folha_01-11-2007_00h00,5394,c89f,politics,2007,"Em uma manobra para escapar de um julgamento no Supremo Tribunal Federal pelo atentado a tiros contra um adversário, o tucano Ronaldo Cunha Lima (PB) renunciou ontem a seu mandato na Câmara.",1
C36_OGlobo_20-07-2007-22h04,1641,c36o,politics,2007,O político baiano estava internado desde o dia 13 de junho.,0
C81_Folha_06-10-2022_15h58,4917,c81f,culture,2022,"De memória pessoal se trata sua obra, e de sua inscrição na história.",1
C17_Folha_21-08-2006,401,c17f,politics,2006,"É subestimar a inteligência das pessoas"".",-1
C83_Folha_01-02-2007_20h44,5050,c83f,politics,2007,Aldo conseguiu 243 votos.,0
C69_Folha_15-10-2022_20h53,3921,c69f,politics,2022,"O mesmo argumento foi usado para negar requerimento de liminar para que a Jovem Pan fosse obrigada a se abster de veicular ""fatos sabidamente inverídicos e descontextualizados em relação ao candidato Luiz Inácio Lula da Silva e ao processo eleitoral"".",-1
C48_OGlobo_25-09-2022_18h05,2319,c48o,world,2022,"Mas, para obter esses fundos, Roma deve implementar uma série de reformas complexas previamente negociadas pelo ex-primeiro-ministro Mario Draghi.",1
C46_Folha_20-09-2022_18h45,2194,c46f,politics,2022,Também acirrou a relação do Judiciário com o governo do presidente Jair Bolsonaro.,1
C18_Estadao_16-04-2007_13h44,462,c18e,world,2007,"Ao menos 33 pessoas morreram nesta segunda-feira, 16, segundo o presidente da instituição, Charles Steger.",0
C48_OGlobo_25-09-2022_18h05,2338,c48o,world,2022,"Também ocorre no momento em que a terceira maior economia da União Europeia, uma das mais endividadas, tenta lidar com a disparada dos preços da energia, as taxas de juros crescentes e as consequências da invasão russa da Ucrânia.",1
C64_Oglobo_14-10-2022_13h53,3576,c64o,culture,2022,"Você vai fazer uma falta tão terrível"", lamentou.",-1
C28_Estadao_15-07-2007_17h24,1142,c28e,sports,2007,"Mesmo com a forte marcação imposta pela altura russa, os brasileiros, com boas jogadas de Giba e André Nascimento, fechou em 25 a 23, em 26 minutos.",1
C2_Oglobo_04-08-2006_16h09,622,c2o,politics,2006,"O Instituto de pesquisa CNI/Ibope divulgou nesta sexta-feira, em Brasília, que o presidente Luiz Inácio Lula da Silva seria reeleito em primeiro turno caso as eleições fossem hoje.",0
C94_OGlobo_18-10-2022_18h30,5848,c94o,politics,2022,"Se passou, está resolvido.",-1
C64_Folha_14-10-2022_14h07,3546,c64f,culture,2022,"Por ser uma mistura de mentor e amigo de Potter e seus amigos, Hagrid acabou se tornando um dos personagens mais queridos dos fãs.",1
C41_Estadao_20-07-2007_12h23,1911,c41e,sports,2007,"O ouro no revezamento foi especial para Thiago Pereira (ele ganha a medalha mesmo não atuando na final), que conquistou sua segunda medalha dourada nesta sexta-feira e a quinta no Pan.",1
C22_Folha_24-07-2007,761,c22f,daily,2007,"Já em Congonhas, funcionárias das companhias aconselhavam passageiros a pegar ônibus.",0
C17_OGlobo_24-10-2006_01h21,444,c17o,politics,2006,"Respeito as pessoas, mas não podem me exigir impunidade.",-1
C17_OGlobo_24-10-2006_01h21,422,c17o,politics,2006,"A apenas seis dias da votação, o líder da oposição, que voltou a aumentar o tom de seus ataques, aproveitou o terceiro dos quatro debates previstos para insistir nas acusações de corrupção contra colaboradores de Lula e dirigentes do PT.",1
C75_Folha_17-10-2022_15h04_titulo,4492,c75f,politics,2022,"Falar em atentado contra Tarcísio é prematuro, e câmeras irão esclarecer, diz secretário de SP.",-1
C72_Folha_17-10-2022_01h28,4139,c72f,politics,2022,"""Eu que fiz prisão de segurança máxima, fiz cinco"".",-1
C10_Estadao_24-09-2022_21h45,54,c10e,politics,2022,"Simone Tebet (MDB) superou Ciro Gomes (PDT) e ocupou o terceiro posto, em um momento em que ambos tentam evitar a perda de apoio para Lula, por conta do fenômeno do ""voto útil"".",1
C91_Estadao_15-12-2007_00h00,5491,c91e,politics,2007,"""É uma atitude que agride a democracia, ao usar a força das tropas para intimidar as pessoas"", acredita.",-1
C5_Folha_31-08-2007,2429,c5f,politics,2007,"Nos bastidores, já está acordado que ele será encaixado em outro setor do governo.",1
C15_Estadao_20-09-2022_17h11,264,c15e,politics,2022,"Além disso, são comuns entre os integrantes do grupo as críticas aos judeus e a Israel, gerando acusações de antissemitismo, enquanto a retórica bolsonarista exalta o Estado Judeu.",1
C94_OGlobo_18-10-2022_18h30,5835,c94o,politics,2022,"Depois de o texto [ser] resolvido, ele vem ao plenário quando estiver com o mínimo acordado possível"", disse o presidente da Casa.",-1
C68_Estadao_16-10-2022_11h22_titulo,3830,c68e,world,2022,"Em um discurso de quase duas horas na abertura do 20.º Congresso do Partido Comunista da China, líder defendeu crescimento militar chinês e reiterou seu foco na reunificação.",0
C94_Estadao_18-10-2022_19h36,5790,c94e,politics,2022,"Se aprovado pelos deputados, o texto não terá o mesmo tratamento célere no Senado.",1
C80_OGlobo_17-10-2022_22h05,4835,c80o,sports,2022,"Ele apresentou o prêmio criado este ano em homenagem ao seu irmão, Sócrates.",0
C94_Folha_18-10-2022_18h44,5817,c94f,politics,2022,"O projeto de Barros, que se insere numa mobilização bolsonarista após o resultado do primeiro turno, faz parte de uma ofensiva para desacreditar os institutos com argumentos que ignoram características de levantamentos eleitorais.",1
C68_Estadao_16-10-2022_11h22,3822,c68e,world,2022,"Em quase duas horas de discurso, Xi também defendeu sua controvertida política de covid zero, frustrando qualquer esperança de que a medida, que tenta eliminar as infecções por coronavírus com bloqueios rigorosos, termine nos próximos meses.",1
C70_Estadao_16-10-2022_10h58,3939,c70e,politics,2022,A fala original de Bolsonaro sobre as meninas gerou forte repercussão nas redes e entre a classe política.,0
C23_Estadao_23-07-2007_13h58,801,c23e,world,2007,"O primeiro-ministro Gordon Brown está em Gloucestershire, o condado mais afetado pelas enchentes, que deixaram 150 mil casas sem água.",0
C51_Estadao_08-09-2022_17h50,2525,c51e,world,2022,A rainha também deixa um reino à beira da fragmentação.,1
C52_Folha_28-09-2022_11h06,2610,c52f,politics,2022,"Na última quinta (22), o mandatário disse que as Forças Armadas pretendem ""colocar técnicos"" dentro da ""sala-cofre"" do TSE.",0
C98_Folha_19-10-2022_18h19,6115,c98f,politics,2022,"Indecisos aqui são 3% e brancos/nulos, 5%.",0
C65_Folha_14-10-2022_13h05,3612,c65f,culture,2022,"""Se o clima entrar em colapso, toda a civilização como a conhecemos entra em colapso.",-1
C79-Folha_17-10-2022_23h01,4743,c79f,politics,2022,O objetivo do Moro é o Brasil.,-1
C76_OGlobo_17-10-2022_23h28,4563,c76o,daily,2022,O g1 e a TV Globo tentam contato com Salituro.,0
C74_OGlobo_17-10-2022_13h11,4421,c74o,politics,2022,"Queremos liberdade, democracia, defesa da família, defesa da criança na sala de aula.",-1
C85_Folha_22-08-2007_20h12,5199,c85f,politics,2007,Só a defesa do empresário Marcos Valério encaminhou 14 questões preliminares.,0
C24_Oglobo_10-12-2021_21h04,872,c24o,politics,2021,"Em Goiânia, por exemplo, o registro da aplicação das doses estava sendo feita manualmente.",0
C54_Folha_28-09-2022_06h25,2725,c54f,politics,2022,É por tais razões que o meu voto será dado em favor de Lula no primeiro turno.,-1
C60_OGlobo_07-10-2022_09h01,3203,c60o,world,2022,"O Conselho de Direitos Humanos da Organização das Nações Unidas votou nesta sexta-feira pela criação de uma relatoria especial cujo trabalho será vigiar a repressão aos opositores do regime do presidente da Rússia, Vladimir Putin.",0
C87_Folha_25-07-2007_12h59,5288,c87f,politics,2007,"""Essa é uma mudança positiva.",-1
C39_OGlobo_28-04-2022_09h03,1780,c39o,politics,2022,"Ele foi condenado por nove magistrados, eu em primeira instância, três no tribunal em Porto Alegre e cinco no STJ"", afirmou Moro a jornalistas, em Campinas.",-1
C27_Folha_17-10-2007_23h53,1079,c27f,sports,2007,"No minuto seguinte, o centroavante em um bonito chute quase fez o segundo gol.",1
C67_Estadao_15-10-2022_17h00,3738,c67e,politics,2022,A declaração de voto no petista foi feita primeiro à Folha de S. Paulo.,0
C74_Folha_17-10-2022_15h10,4358,c74f,politics,2022,"""Tivemos os nossos princípios, vindos dos nossos pais.",-1
C30_OGlobo_07-08-2007_09h10,1304,c30o,daily,2007,"""Esse resultado inclui entre outros efeitos não recorrentes as vendas da participação acionária do banco na empresa de informações de crédito Serasa e da sede do BankBoston em São Paulo e constituição de provisão para créditos de liquidação duvidosa excedente ao mínimo requerido de forma a permitir a absorção de eventuais aumentos de inadimplência ocasionados por forte reversão do ciclo econômico em situações de stress"", informou o Itaú.",-1
C18_Oglobo_2007_17h05,524,c18o,world,2007,"BLACKSBURG, EUA (Reuters) - Pelo menos 32 pessoas foram mortas e muitas outras ficaram feridas na Universidade Virginia Tech na segunda-feira, segundo um assessor do Congresso norte-americano, no tiroteio com maior número de mortos em um campus na história dos Estados Unidos.",1
C18_Estadao_16-04-2007_13h44,476,c18e,world,2007,"O nome do atirador não foi divulgado, e a polícia não ofereceu nenhum motivo para o ataque.",0
C26_Folha_19-12-2021_18h54,1016,c26f,world,2021,"O esquerdista Gabriel Boric, líder dos protestos estudantis de 2011, foi eleito presidente do Chile neste domingo (19) ao derrotar o ultradireitista José Antonio Kast.",1
C75_OGlobo_17-10-2022_14h45,4504,c75o,politics,2022,Nossa equipe de segurança foi reforçada rapidamente com atuação brilhante da @PMESP.,-1
C52_OGlobo_28-09-2022_10h34_titulo,2631,c52o,politics,2022,"É uma sala aberta, clara, nem secreta, nem escura', disse Moraes.",-1
C19_OGlobo_13-04-2007_16h32,564,c19o,sports,2007,O astro argentino Diego,1
C98_Folha_19-10-2022_18h19,6102,c98f,politics,2022,A oscilação favoreceu o presidente.,1
C17_OGlobo_24-10-2006_01h21,419,c17o,politics,2006,"""Os escândalos aparecem porque há um Governo que investiga.",-1
C17_Folha_21-08-2006,411,c17f,politics,2006,"Segundo o ex-governador, a estratégia de priorizar no programa eleitoral na TV a sua biografia tem sido bem-sucedida e não deve mudar, por enquanto.",0
C70_Estadao_16-10-2022_10h58,3957,c70e,politics,2022,"""O PT recorta pedaços como se eu estivesse atrás de programas.",-1
C71_Folha_14-10-2022_23h00,4064,c71f,politics,2022,"Em 2005, o Ministério Público do Trabalho constatou a manutenção de trabalhadores em regime análogo à escravidão e autuou a empresa.",0
C54_Estadao_28-09-2022_01h10_titulo,2712,c54e,politics,2022,Celso de Mello declara apoio a Lula e diz que Bolsonaro é 'político menor'.,-1
C83_OGlobo_01-02-2007_20h43,5088,c83o,politics,2007,Também aconteceram seis votos brancos.,0
C42_Estadao_25-09-2007_14h28,1937,c42e,politics,2007,"""Os trabalhos da Câmara já estão adiantados e podem trazer novos elementos ao processo.",-1
C45_Folha_18-10-2007_08h03,2130,c45f,culture,2007,"Também foram presos José Ailton dos Santos, 29, e João Alcino da Silva, 29, que, segundo o Deic, trabalhavam como vendedores das mercadorias.",0
C51_Folha_08-09-2022_14h32,2550,c51f,world,2022,"Segundo comunicado oficial, que chamou Charles de rei e sua mulher, Camilla, de rainha consorte, ela ""morreu serenamente"".",0
C30_Folha_07-08-2007_09h19,1298,c30f,daily,2007,"O maior lucro no primeiro semestre dos últimos 20 anos pertence ao Banco do Brasil, que em 2006 informou R$ 4,032 bilhões --o BB ainda não divulgou os números de 2007.",0
C10_OGlobo_24-09-2022_18h15,79,c10o,politics,2022,"""Uma sabatina, um debate, é como uma entrevista de emprego.",-1
C48_Folha_25-09-2022_18h04,2297,c48f,world,2022,"Os números mostram que o partido de Meloni teve desempenho muito superior ao dos aliados, o que pode ser fonte de atritos dentro da coligação, a começar pela disputa para a nomeação de cargos importantes.",1
C75_Estadao_17-10-2022_16h12,4434,c75e,politics,2022,"""Na dinâmica dos fatos, algo ainda tendo em vista o ruído da Polícia estar nesse ambiente.",-1
C49_Folha_17-07-2007_08h25,2357,c49f,politics,2007,"""Eu acredito que é preciso que todos nós brasileiros tenhamos consciência de que o Rio de Janeiro merecia um evento dessa magnitude.",-1
C42_Folha_25-09-2007_11h44,1968,c42f,politics,2007,"""Temos que acreditar no trabalho da Câmara, já que eles estão, inclusive, adiantados.",-1
C77_OGlobo_18-10-2022_09h21,4626,c77o,politics,2022,"""[Determino] ao Ministério da Defesa que, no prazo de 48 (quarenta e oito horas) preste as devidas informações, mediante a apresentação de cópia dos documentos existentes sobre eventual auditoria das urnas, com a correspondente fonte do recurso empregado"", escreveu Moraes na decisão.",-1
C17_OGlobo_24-10-2006_01h21,437,c17o,politics,2006,"Não sou daqueles que, para salvar a própria pele, jogam os amigos na fogueira"", acrescentou o líder social-democrata.",-1
C83_Estadao_02-02-2007_01h03,5029,c83e,politics,2007,Imagino que as bancadas que apóiam o governo agora vão se unificar em torno daquilo que é de interesse do País.,-1
C87_OGlobo_25-07-2007_10h51,5303,c87o,politics,2007,"Ele, no entanto, cedeu aos apelos de Lula.",1
C52_Folha_28-09-2022_11h06,2594,c52f,politics,2022,"""Essas pessoas, no dia da eleição, não contam votos.",-1
C81_Folha_06-10-2022_15h58,4914,c81f,culture,2022,"Com ""O Lugar"", livro de 1983 no qual, após a morte do pai, vendeiro em um vilarejo normando, retrata sua figura em paralelo à questão de sua ascensão social por meio da intelectualidade, ela inventou uma espécie de ""romance de si"" de cunho sociológico.",1
C90_Folha_28-11-2007_00h00,5457,c90f,politics,2007,"No documento, datado de 4 de outubro, o religioso faz duras críticas ao presidente:",1
C100_OGlobo_19-10-2022_19h49,3353,c100o,politics,2022,entre os que estudaram até o ensino médio (50% a 36%).,0
C49_Estadao_16-07-2007_07h53,2353,c49e,politics,2007,"Segundo um assessor de Lula, ele teria classificado a manifestação como ""molecagem"", e , muito irritado, teria dito:",1
C55_OGlobo_27-09-2022_19h04,2842,c55o,politics,2022,Não sabe:,0
C2_Estadao_04-08-2006_12h44,588,c2e,politics,2006,"O senador Cristovam Buarque, candidato pelo PDT, teve alta de 29% para 32%.",0
C68_Folha_16-10-2022_10h48,3833,c68f,world,2022,"""Aderimos à supremacia do povo e da vida, e com a dinâmica de Covid zero alcançamos grandes resultados na prevenção da epidemia e no desenvolvimento econômico e social.",-1
